,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
89,Aborigine,0.6,1,{b@rI_InI,N,5,9,5,False,0,-9.720603764120282,9.720603764120282
90,abort,0.3,0,@b$t,V,2,4,2,False,0,-4.649989408705104,4.649989408705104
91,abortion,1.3,2,@b$SH,N,3,5,2,False,0,-4.782827960672058,4.782827960672058
92,abortionist,0.0,2,@b$SHIst,N,4,8,3,False,0,-4.876560520246361,4.876560520246361
93,abortive,0.48,2,@b$tIv,A,3,6,3,False,0,-4.78976363699713,4.78976363699713
94,abortively,0.0,2,@b$tIvlI,ADV,4,8,4,False,0,-4.970743972115774,4.970743972115774
95,abound,0.7,0,@b6nd,V,2,5,2,False,0,-4.883069754674771,4.883069754674771
98,about,2.54,1,@b6t,ADV,2,4,2,False,3,-4.775671612020888,4.775671612020888
99,about,3.33,1,@b6t,PREP,2,4,2,False,3,-4.775671612020888,4.775671612020888
100,about,0.0,1,@b6t,A,2,4,2,False,3,-4.775671612020888,4.775671612020888
104,above,1.6,1,@bVv,ADV,2,4,2,False,3,-4.681190301472609,4.681190301472609
105,above,2.23,1,@bVv,PREP,2,4,2,False,3,-4.681190301472609,4.681190301472609
106,above,0.95,1,@bVv,A,2,4,2,False,3,-4.681190301472609,4.681190301472609
107,above,0.6,1,@bVv,N,2,4,2,False,3,-4.681190301472609,4.681190301472609
109,aboveboard,0.0,2,@bVvb$d,A,3,7,3,False,0,-5.23078834263407,5.23078834263407
114,abracadabra,0.0,1,{br@k@d{br@,N,5,11,5,False,1,-7.491093541322656,7.491093541322656
115,abracadabra,0.0,0,{br@k@d{br@,I,5,11,5,False,1,-7.491093541322656,7.491093541322656
116,abrade,0.0,0,@br1d,V,2,5,2,False,0,-4.958940998239938,4.958940998239938
117,abrasion,0.0,2,@br1ZH,N,3,6,2,False,0,-5.472215921699109,5.472215921699109
118,abrasive,0.0,1,@br1sIv,N,3,7,3,False,1,-6.175771205968951,6.175771205968951
119,abrasive,0.3,2,@br1sIv,A,3,7,3,False,1,-6.175771205968951,6.175771205968951
120,abrasively,0.0,2,@br1sIvlI,ADV,4,9,4,False,0,-6.279979494630435,6.279979494630435
121,abreast,0.3,2,@brEst,ADV,2,6,2,False,0,-5.678214072671393,5.678214072671393
122,abridge,0.0,0,@brI_,V,2,5,2,False,0,-4.62966759047446,4.62966759047446
123,abridgment,0.0,2,@brI_m@nt,N,3,9,3,False,0,-5.689470125312426,5.689470125312426
124,abroad,1.63,2,@br$d,ADV,2,5,2,False,0,-5.708303753180981,5.708303753180981
125,abrogate,0.0,0,{br5g1t,V,3,7,3,False,0,-5.084331775821325,5.084331775821325
126,abrogation,0.0,2,{br5g1SH,N,4,8,3,False,0,-5.100585057913393,5.100585057913393
127,abrupt,0.85,0,@brVpt,A,2,6,2,False,0,-4.868597702881695,4.868597702881695
128,abruptly,1.26,2,@brVptlI,ADV,3,8,3,False,0,-5.477567104566511,5.477567104566511
129,abruptness,0.0,2,@brVptnIs,N,3,9,3,False,0,-5.479599119532975,5.479599119532975
130,abscess,0.0,0,{bsIs,N,2,5,2,False,0,-5.308728127748187,5.308728127748187
131,abscond,0.0,0,@bskQnd,V,2,7,2,False,0,-6.787188083946197,6.787188083946197
132,absence,1.61,2,{bs@ns,N,2,6,2,False,0,-4.710265907110044,4.710265907110044
134,absent,0.0,1,{bsEnt,V,2,6,2,False,0,-6.100958788813998,6.100958788813998
135,absent,1.11,0,{bs@nt,A,2,6,2,False,0,-4.33845795145149,4.33845795145149
136,absentee,0.3,2,{bs@nti,N,3,7,3,False,0,-5.300676150254005,5.300676150254005
137,absenteeism,0.0,2,{bs@ntiIz@m,N,5,11,5,False,0,-6.310391133131636,6.310391133131636
138,absently,0.3,2,{bs@ntlI,ADV,3,8,3,False,0,-4.916651338997666,4.916651338997666
142,absinth,0.0,1,{bsInT,N,2,6,2,False,0,-5.515545313011152,5.515545313011152
143,absolute,1.62,0,{bs@lut,A,3,7,3,False,0,-4.782650703098722,4.782650703098722
144,absolutely,1.92,2,{bs@lutlI,ADV,4,9,4,False,0,-5.565971988401719,5.565971988401719
145,absoluteness,0.0,2,{bs@lutnIs,N,4,10,4,False,0,-5.308010859592293,5.308010859592293
147,absolution,0.0,2,{bs@luSH,N,4,8,3,False,0,-4.962732464420304,4.962732464420304
148,absolutism,0.0,2,{bs@lutIz@m,N,5,11,5,False,0,-6.273202820485398,6.273202820485398
149,absolve,0.3,0,@bzQlv,V,2,6,2,False,0,-5.108155907170494,5.108155907170494
150,absorb,1.58,0,@bs$b,V,2,5,2,False,0,-4.673913313919216,4.673913313919216
151,absorbent,0.0,1,@bs$b@nt,N,3,8,3,False,1,-5.311536484047253,5.311536484047253
152,absorbent,0.0,2,@bs$b@nt,A,3,8,3,False,1,-5.311536484047253,5.311536484047253
153,absorbing,0.0,1,@bs$bIN,A,3,7,3,False,0,-5.040312008026857,5.040312008026857
154,absorption,0.6,2,@bs$pSH,N,3,7,2,False,0,-5.153074588648733,5.153074588648733
155,abstain,0.6,0,@bst1n,V,2,6,2,False,0,-4.979140342240092,4.979140342240092
156,abstainer,0.0,2,@bst1n@R,N,3,8,3,False,0,-5.839593373172019,5.839593373172019
157,abstemious,0.0,0,{bstimj@s,A,3,9,3,False,0,-5.760820911274945,5.760820911274945
158,abstemiously,0.0,2,{bstimj@slI,ADV,4,11,4,False,0,-5.773455272764253,5.773455272764253
159,abstemiousness,0.0,2,{bstimj@snIs,N,4,12,4,False,0,-5.776938353257656,5.776938353257656
160,abstention,0.0,2,@bstEnSH,N,3,8,2,False,0,-6.602642294807686,6.602642294807686
161,abstinence,0.3,2,{bstIn@ns,N,3,9,3,False,0,-6.34750946987411,6.34750946987411
162,abstinent,0.0,2,{bstIn@nt,A,3,9,3,False,0,-6.257374892062721,6.257374892062721
163,abstract,0.48,1,{bstr{kt,N,2,8,2,False,3,-5.713031274284909,5.713031274284909
164,abstract,0.0,1,{bstr{kt,V,2,8,2,False,3,-5.713031274284909,5.713031274284909
165,abstract,0.0,1,{bstr{kt,V,2,8,2,False,3,-5.713031274284909,5.713031274284909
166,abstract,1.34,0,{bstr{kt,A,2,8,2,False,3,-5.713031274284909,5.713031274284909
167,abstracted,0.0,1,{bstr{ktId,A,3,10,3,False,0,-6.939164546440038,6.939164546440038
168,abstractedly,0.0,2,{bstr{ktIdlI,ADV,4,12,4,False,0,-7.2636356665871595,7.2636356665871595
169,abstraction,0.85,2,{bstr{kSH,N,3,9,2,False,0,-5.902887497037799,5.902887497037799
170,abstruse,0.0,0,{bstrus,A,2,7,2,False,0,-6.076371827047299,6.076371827047299
171,abstrusely,0.0,2,{bstruslI,ADV,3,9,3,False,0,-6.67755807258595,6.67755807258595
172,abstruseness,0.0,2,{bstrusnIs,N,3,10,3,False,0,-6.514402878472636,6.514402878472636
173,absurd,1.4,0,@bs3d,A,2,5,2,False,0,-5.018806683958225,5.018806683958225
174,absurdity,0.85,2,@bs3d@tI,N,4,8,4,False,0,-5.401503318885949,5.401503318885949
175,absurdly,0.48,2,@bs3dlI,ADV,3,7,3,False,0,-5.642319738319986,5.642319738319986
176,abundance,0.85,2,@bVnd@ns,N,3,8,3,False,0,-6.063841370325647,6.063841370325647
177,abundant,0.95,2,@bVnd@nt,A,3,8,3,False,0,-5.918769284647531,5.918769284647531
178,abundantly,0.6,2,@bVnd@ntlI,ADV,4,10,4,False,0,-6.33831082804689,6.33831082804689
179,abuse,1.23,1,@bjus,N,2,5,2,False,0,-4.807563004728745,4.807563004728745
180,abuse,0.85,2,@bjuz,V,2,5,2,False,0,-4.5398892138584035,4.5398892138584035
181,abusive,0.3,2,@bjusIv,A,3,7,3,False,0,-5.131370775984966,5.131370775984966
182,abusively,0.0,2,@bjusIvlI,ADV,4,9,4,False,0,-5.263734035915781,5.263734035915781
183,abutment,0.0,2,@bVtm@nt,N,3,8,3,False,0,-5.164131931613789,5.164131931613789
185,abysmal,0.0,0,@bIzmP,A,3,6,2,False,0,-5.028635165277357,5.028635165277357
186,abysmally,0.0,2,@bIzm@lI,ADV,4,8,4,False,0,-5.838018979071725,5.838018979071725
187,abyss,0.6,0,@bIs,N,2,4,2,False,0,-4.825359846878458,4.825359846878458
188,A/C,0.0,0,1si,,2,3,2,False,0,-4.662004165079155,4.662004165079155
189,acacia,0.3,0,@k1S@,N,3,5,3,False,0,-6.618718177128392,6.618718177128392
190,academic,1.04,1,{k@dEmIk,N,4,8,4,False,1,-5.738668077272064,5.738668077272064
191,academic,1.66,2,{k@dEmIk,A,4,8,4,False,1,-5.738668077272064,5.738668077272064
192,academically,0.3,2,{k@dEmIk@lI,ADV,6,11,6,False,0,-5.975529824262083,5.975529824262083
193,academicals,0.0,3,{k@dEmIkPz,N,5,10,4,False,0,-7.116313248256183,7.116313248256183
194,academician,0.0,2,@k{d@mISH,N,5,9,4,False,0,-6.149609233564169,6.149609233564169
195,academy,1.04,0,@k{d@mI,N,4,7,4,False,0,-5.669216276939174,5.669216276939174
196,acc.,0.0,0,1sisi,,3,5,3,False,0,-4.946841171332425,4.946841171332425
197,accede,0.3,0,{ksid,V,2,5,2,False,0,-5.437833231040734,5.437833231040734
198,accelerando,0.0,1,@ksEl@r{nd5,N,5,11,5,False,0,-6.706282042041615,6.706282042041615
199,accelerando,0.0,0,@JEl@r{nd5,A,5,10,5,False,0,-7.285303246208996,7.285303246208996
200,accelerando,0.0,1,{ksEl@r{nd5,ADV,5,11,5,False,0,-7.264537605511495,7.264537605511495
201,accelerate,1.18,0,@ksEl@r1t,V,4,9,4,False,0,-5.389016934326543,5.389016934326543
202,acceleration,0.9,2,@ksEl@r1SH,N,5,10,4,False,0,-5.306527472826874,5.306527472826874
203,accelerator,0.3,2,@ksEl@r1t@R,N,5,11,5,False,0,-6.14786906267837,6.14786906267837
204,accent,1.48,0,{ksEnt,N,2,6,2,False,1,-5.258611946935967,5.258611946935967
205,accent,0.3,1,{ksEnt,V,2,6,2,False,1,-5.258611946935967,5.258611946935967
206,accentuate,0.6,2,{ksEntjU1t,V,4,10,4,False,0,-6.964769163553124,6.964769163553124
207,accentuation,0.0,2,{ksEntjU1SH,N,5,11,4,False,0,-7.2499500636404335,7.2499500636404335
208,accept,2.32,0,@ksEpt,V,2,6,2,False,0,-5.231121519993001,5.231121519993001
209,acceptability,0.0,2,@ksEpt@bIl@tI,N,6,13,6,False,0,-5.516102397385325,5.516102397385325
210,acceptable,1.46,2,@ksEpt@bP,A,4,9,3,False,0,-5.412254662082124,5.412254662082124
211,acceptably,0.0,2,@ksEpt@blI,ADV,4,10,4,False,0,-5.628471143998344,5.628471143998344
212,acceptance,1.36,2,@ksEpt@ns,N,3,9,3,False,0,-6.400571602149266,6.400571602149266
213,acceptation,0.0,2,{ksEpt1SH,N,4,9,3,False,0,-6.932912474373155,6.932912474373155
214,access,1.62,0,{ksEs,N,2,5,2,False,0,-4.799405041327791,4.799405041327791
215,accessibility,0.3,2,@ksEs@bIl@tI,N,6,12,6,False,0,-5.340251775214408,5.340251775214408
216,accessible,0.95,2,@ksEs@bP,A,4,8,3,False,0,-4.939966889813702,4.939966889813702
217,accession,0.0,2,{ksESH,N,3,6,2,False,0,-4.95567742972775,4.95567742972775
218,accessory,0.48,2,@ksEs@rI,N,4,8,4,False,0,-5.4628233760989975,5.4628233760989975
219,accidence,0.0,2,{ksId@ns,N,3,8,3,False,0,-5.85367783096956,5.85367783096956
220,accident,1.85,0,{ksId@nt,N,3,8,3,False,0,-5.733438098746148,5.733438098746148
221,accidental,0.95,2,{ksIdEntP,A,4,9,3,False,0,-5.995499904489713,5.995499904489713
222,accidentally,0.85,2,{ksIdEnt@lI,ADV,5,11,5,False,0,-7.020550665832029,7.020550665832029
224,acclaim,0.3,1,@kl1m,N,2,5,2,False,1,-4.970759895183695,4.970759895183695
225,acclaim,0.3,2,@kl1m,V,2,5,2,False,1,-4.970759895183695,4.970759895183695
226,acclamation,0.0,2,{kl@m1SH,N,4,8,3,False,0,-5.017500868286863,5.017500868286863
227,acclimate,0.0,2,{klIm1t,V,3,7,3,False,0,-6.037468025279317,6.037468025279317
228,acclimation,0.0,2,{kl2m1SH,N,4,8,3,False,0,-6.576278128904537,6.576278128904537
229,acclimatization,0.0,2,@kl2m@t2z1SH,N,6,12,5,False,0,-6.1796556178208535,6.1796556178208535
230,acclimatize,0.0,3,@kl2m@t2z,V,4,9,4,False,0,-5.73207192703579,5.73207192703579
231,acclivity,0.0,0,@klIv@tI,N,4,8,4,False,0,-5.972226456390873,5.972226456390873
232,accolade,0.0,0,{k5l1d,N,3,6,3,False,0,-5.113871660056393,5.113871660056393
233,accommodate,1.18,0,@kQm@d1t,V,4,8,4,False,0,-5.792082723505096,5.792082723505096
234,accommodating,0.0,1,@kQm@d1tIN,A,5,10,5,False,0,-6.273270244171494,6.273270244171494
235,accommodatingly,0.0,2,@kQm@d1tINlI,ADV,6,12,6,False,0,-6.527352804198613,6.527352804198613
236,accommodation,1.53,2,@kQm@d1SH,N,5,9,4,False,0,-5.544131259657259,5.544131259657259
237,accommodations,0.0,1,@kQm@d1SHz,N,5,10,4,False,0,-6.400586833458313,6.400586833458313
238,accompaniment,0.6,2,@kVmp@nIm@nt,N,5,12,5,False,0,-7.557261143156191,7.557261143156191
239,accompanist,0.0,2,@kVmp@nIst,N,4,10,4,False,0,-6.27590683220984,6.27590683220984
240,accompany,1.68,2,@kVmp@nI,V,4,8,4,False,0,-5.547506022552226,5.547506022552226
241,accomplice,0.48,0,@kVmplIs,N,3,8,3,False,0,-5.846389235962975,5.846389235962975
242,accomplish,1.18,0,@kVmplIS,V,3,8,3,False,0,-6.157322463180214,6.157322463180214
243,accomplished,0.6,1,@kVmplISt,A,3,9,3,False,0,-6.340521810234034,6.340521810234034
245,accomplishment,0.7,2,@kVmplISm@nt,N,4,12,4,False,0,-6.381906881418593,6.381906881418593
246,accord,0.78,1,@k$d,N,2,4,2,False,1,-4.651516997746897,4.651516997746897
247,accord,2.05,1,@k$d,V,2,4,2,False,1,-4.651516997746897,4.651516997746897
248,accordance,0.85,2,@k$d@ns,N,3,7,3,False,0,-5.476807047744182,5.476807047744182
250,accordingly,1.15,3,@k$dINlI,ADV,4,8,4,False,0,-5.906951707957616,5.906951707957616
252,accordion,0.0,2,@k$dj@n,N,3,7,3,False,0,-5.72900359382606,5.72900359382606
253,accost,0.3,1,@kQst,V,2,5,2,False,0,-5.447594571577577,5.447594571577577
254,accouchement,0.0,0,@kuSmqN,N,3,7,3,False,0,-5.238601776495148,5.238601776495148
255,account,2.12,1,@k6nt,N,2,5,2,False,1,-4.830140838139592,4.830140838139592
256,account,1.53,1,@k6nt,V,2,5,2,False,1,-4.830140838139592,4.830140838139592
257,accountable,0.7,2,@k6nt@bP,A,4,8,3,False,0,-5.034723488882631,5.034723488882631
258,accountably,0.0,2,@k6nt@blI,ADV,4,9,4,False,0,-5.389094773686365,5.389094773686365
259,accountancy,0.48,2,@k6nt@nsI,N,4,9,4,False,0,-6.64829787439642,6.64829787439642
260,accountant,1.04,2,@k6nt@nt,N,3,8,3,False,0,-6.380200883962232,6.380200883962232
262,accoutrements,0.0,0,@kut@m@nts,N,4,10,4,False,0,-7.549825209089891,7.549825209089891
263,accredit,0.0,2,@krEdIt,V,3,7,3,False,0,-5.862202864671084,5.862202864671084
264,accredited,0.0,1,@krEdItId,A,4,9,4,False,0,-7.560521481311254,7.560521481311254
265,accrete,0.0,1,@krit,V,2,5,2,False,0,-5.040619385314107,5.040619385314107
266,accretion,0.0,2,{kriSH,N,3,6,2,False,0,-4.845399003549741,4.845399003549741
267,accrue,0.6,1,@kru,V,2,4,2,False,0,-4.754718738931641,4.754718738931641
268,accumulate,1.2,0,@kjumjUl1t,V,4,10,4,False,0,-4.932002747571994,4.932002747571994
269,accumulation,0.85,2,@kjumjUl1SH,N,5,11,4,False,0,-4.99500892835905,4.99500892835905
270,accumulative,0.0,2,@kjumjUl@tIv,A,5,12,5,False,0,-7.385606391612484,7.385606391612484
271,accumulatively,0.0,2,@kjumjUl@tIvlI,ADV,6,14,6,False,0,-7.700476269292769,7.700476269292769
272,accumulator,0.0,2,@kjumjUl1t@R,N,5,12,5,False,0,-5.7748727020893496,5.7748727020893496
273,accuracy,1.11,2,{kjUr@sI,N,4,8,4,False,0,-5.332567766433367,5.332567766433367
274,accurate,1.32,0,{kjUr@t,A,3,7,3,False,0,-5.06240870183421,5.06240870183421
275,accurately,1.08,2,{kjUr@tlI,ADV,4,9,4,False,0,-5.225966480721844,5.225966480721844
276,accursed,0.0,0,@k3sId,A,3,6,3,False,0,-5.099431397824601,5.099431397824601
277,accursedly,0.0,2,@k3sIdlI,ADV,4,8,4,False,0,-5.128849370077179,5.128849370077179
278,accurst,0.0,0,@k3st,A,2,5,2,False,0,-4.769679943141369,4.769679943141369
279,accusation,1.08,2,{kjuz1SH,N,4,8,3,False,0,-6.8085960815337865,6.8085960815337865
280,accusative,0.0,1,@kjuz@tIv,N,4,9,4,False,1,-5.858927837397044,5.858927837397044
281,accusative,0.0,2,@kjuz@tIv,A,4,9,4,False,1,-5.858927837397044,5.858927837397044
282,accuse,1.56,1,@kjuz,V,2,5,2,False,0,-4.792806606496505,4.792806606496505
283,accused,0.3,1,@kjuzd,A,2,6,2,False,1,-5.225511646871788,5.225511646871788
284,accused,0.6,1,@kjuzd,N,2,6,2,False,1,-5.225511646871788,5.225511646871788
285,accuser,0.3,2,@kjuz@R,N,3,7,3,False,0,-5.182254075164419,5.182254075164419
286,accusing,0.0,1,@kjuzIN,A,3,7,3,False,0,-5.658120413261606,5.658120413261606
287,accusingly,0.0,2,@kjuzINlI,ADV,4,9,4,False,0,-5.811223232974918,5.811223232974918
288,accustom,0.0,2,@kVst@m,V,3,7,3,False,0,-5.846786665779025,5.846786665779025
289,accustomed,1.3,1,@kVst@md,A,3,8,3,False,0,-6.248372640178167,6.248372640178167
290,ace,0.7,1,1s,N,1,2,1,False,0,-4.560366505879706,4.560366505879706
291,acerbic,0.0,0,@s3bIk,A,3,6,3,False,0,-5.043268037352343,5.043268037352343
292,acerbity,0.0,2,@s3b@tI,N,4,7,4,False,0,-5.971864605572514,5.971864605572514
293,acetate,0.0,0,{sIt1t,N,3,6,3,False,0,-5.53289029238452,5.53289029238452
294,acetic,0.0,0,@sitIk,A,3,6,3,False,0,-5.832364788249387,5.832364788249387
296,acetyl,0.0,1,{sItIl,N,3,6,3,False,0,-7.483298154870583,7.483298154870583
297,acetylene,0.0,2,@sEtIlin,N,4,8,4,False,0,-5.465551690696897,5.465551690696897
298,ache,0.7,1,1k,N,1,2,1,False,1,-4.567848721817199,4.567848721817199
299,ache,1.08,1,1k,V,1,2,1,False,1,-4.567848721817199,4.567848721817199
300,achievable,0.0,2,@Jiv@bP,A,4,7,3,False,0,-5.155281331201726,5.155281331201726
301,achieve,2.07,1,@Jiv,V,2,4,2,False,0,-4.725873362328115,4.725873362328115
302,achievement,1.6,2,@Jivm@nt,N,3,8,3,False,0,-5.0719860066220805,5.0719860066220805
303,Achilles,0.48,0,@kIliz,N,3,6,3,False,0,-5.251753973833035,5.251753973833035
306,achoo,0.0,0,@Ju,I,2,3,2,False,1,-4.7681991765180465,4.7681991765180465
307,acid,1.32,1,{sId,N,2,4,2,False,1,-4.682867941769196,4.682867941769196
308,acid,0.78,1,{sId,A,2,4,2,False,1,-4.682867941769196,4.682867941769196
309,acidic,0.0,2,@sIdIk,A,3,6,3,False,0,-6.490976968940076,6.490976968940076
310,acidify,0.0,2,@sIdIf2,V,4,7,4,False,0,-5.9416663708799415,5.9416663708799415
311,acidity,0.0,2,@sId@tI,N,4,7,4,False,0,-5.2107497856559855,5.2107497856559855
